"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2025","78.24","78.11","78.25","78.00","98.80K","2.72%"
"04/11/2025","76.17","77.30","77.39","75.52","365.04K","-0.82%"
"04/10/2025","76.80","80.27","80.43","76.80","718.84K","3.86%"
"04/09/2025","73.95","73.45","74.69","72.18","630.05K","-3.69%"
"04/08/2025","76.78","76.18","78.08","76.07","608.51K","3.20%"
"04/07/2025","74.40","70.84","77.69","70.74","1.06M","-1.91%"
"04/04/2025","75.85","77.97","78.24","75.02","898.06K","-3.65%"
"04/03/2025","78.72","79.38","79.57","78.00","660.28K","-4.71%"
"04/02/2025","82.62","82.54","82.66","81.53","335.19K","0.07%"
"04/01/2025","82.56","82.20","82.64","81.72","248.97K","1.45%"
"03/31/2025","81.38","80.96","81.40","80.44","356.52K","-0.56%"
"03/28/2025","81.83","82.95","83.34","81.79","206.89K","-2.00%"
"03/27/2025","83.51","83.77","83.90","83.06","233.68K","-0.85%"
"03/26/2025","84.22","84.71","85.04","84.15","322.33K","-0.08%"
"03/25/2025","84.29","84.52","84.65","84.29","335.51K","-0.25%"
"03/24/2025","84.50","83.60","84.58","83.60","323.09K","2.06%"
"03/21/2025","82.79","82.76","82.88","82.07","186.46K","-0.05%"
"03/20/2025","82.84","83.21","83.46","82.43","314.91K","-0.08%"
"03/19/2025","82.90","82.22","83.06","82.17","206.28K","0.90%"
"03/18/2025","82.17","82.87","83.07","81.96","255.86K","-0.50%"
"03/17/2025","82.57","82.31","83.00","82.20","319.19K","0.04%"
"03/14/2025","82.54","81.58","82.78","81.56","309.65K","1.52%"
"03/13/2025","81.31","81.61","82.24","81.17","297.62K","-1.13%"
"03/12/2025","82.24","82.11","82.77","81.41","326.48K","0.61%"
"03/11/2025","81.73","82.79","82.92","81.52","625.51K","-1.85%"
"03/10/2025","83.28","84.48","84.55","82.93","513.43K","-0.48%"
"03/07/2025","83.68","84.67","85.00","83.58","238.63K","-1.99%"
"03/06/2025","85.38","85.54","85.68","84.64","313.99K","0.66%"
"03/05/2025","84.82","86.09","86.28","84.82","433.38K","-1.20%"
"03/04/2025","85.85","87.50","87.57","85.68","594.67K","-3.16%"
"03/03/2025","88.65","89.77","89.90","88.55","304.96K","-0.07%"
"02/28/2025","88.71","88.59","88.93","88.05","346.83K","-1.04%"
"02/27/2025","89.64","89.65","89.86","89.00","259.70K","-0.13%"
"02/26/2025","89.75","89.74","90.06","89.42","257.47K","1.12%"
"02/25/2025","88.76","89.83","90.02","88.68","402.79K","-1.76%"
"02/24/2025","90.36","90.69","90.90","89.99","385.62K","-1.05%"
"02/21/2025","91.32","91.63","91.96","91.21","213.21K","-0.23%"
"02/20/2025","91.53","92.35","92.35","91.42","315.23K","-0.99%"
"02/19/2025","92.44","92.21","92.47","92.13","304.38K","0.50%"
"02/18/2025","91.99","92.33","92.50","91.90","260.30K","-0.21%"
"02/17/2025","92.18","92.20","92.35","92.13","182.57K","0.18%"
"02/14/2025","92.01","92.46","92.46","91.93","228.84K","-0.15%"
"02/13/2025","92.14","91.88","92.33","91.76","233.45K","0.05%"
"02/12/2025","92.10","92.39","92.62","91.89","247.90K","-0.54%"
"02/11/2025","92.60","92.89","92.97","92.35","241.05K","-0.26%"
"02/10/2025","92.84","92.43","92.93","92.35","279.49K","0.53%"
