Date,open_btc,high_btc,low_btc,close_btc,volume_btc,block_reward,cpi,open_sp500,high_sp500,low_sp500,close_sp500,volume_sp500
2010-07-19,0.0808,0.0808,0.0808,0.0808,0.0,50.0,100.0538,1066.85,1074.7,1061.11,1071.25,2271944444.0
2010-07-20,0.0747,0.0747,0.0747,0.0747,0.0,50.0,100.0538,1064.53,1083.94,1056.88,1083.48,2618488889.0
2010-07-21,0.0792,0.0792,0.0792,0.0792,0.0,50.0,100.0538,1086.67,1088.96,1065.25,1069.59,2637322222.0
2010-07-22,0.0505,0.0505,0.0505,0.0505,0.0,50.0,100.0538,1072.14,1097.5,1072.14,1093.67,2681611111.0
2010-07-23,0.0626,0.0626,0.0626,0.0626,0.0,50.0,100.0538,1092.17,1103.73,1087.88,1102.66,2513650000.0
2010-07-24,0.0545,0.0545,0.0545,0.0545,0.0,50.0,100.0538,1092.17,1103.73,1087.88,1102.66,2513650000.0
2010-07-25,0.0505,0.0505,0.0505,0.0505,0.0,50.0,100.0538,1092.17,1103.73,1087.88,1102.66,2513650000.0
2010-07-26,0.056,0.056,0.056,0.056,0.0,50.0,100.0538,1102.89,1115.01,1101.3,1115.01,2227583333.0
2010-07-27,0.06,0.06,0.06,0.06,0.0,50.0,100.0538,1117.36,1120.95,1109.78,1113.84,2625383333.0
2010-07-28,0.0589,0.0589,0.0589,0.0589,0.0,50.0,100.0538,1112.84,1114.66,1103.11,1106.13,2223550000.0
2010-07-29,0.0699,0.0699,0.0699,0.0699,0.0,50.0,100.0538,1108.07,1115.9,1092.82,1101.53,2562455556.0
2010-07-30,0.0627,0.0627,0.0627,0.0627,0.0,50.0,100.0538,1098.44,1106.44,1088.01,1101.6,2225805556.0
2010-07-31,0.0679,0.0679,0.0679,0.0679,0.0,50.0,100.0538,1098.44,1106.44,1088.01,1101.6,2225805556.0
2010-08-01,0.0611,0.0611,0.0611,0.0611,0.0,50.0,100.20001,1098.44,1106.44,1088.01,1101.6,2225805556.0
2010-08-02,0.06,0.06,0.06,0.06,0.0,50.0,100.20001,1107.53,1127.3,1107.53,1125.86,2302322222.0
2010-08-03,0.06,0.06,0.06,0.06,0.0,50.0,100.20001,1125.34,1125.44,1116.76,1120.46,2262122222.0
2010-08-04,0.057,0.057,0.057,0.057,0.0,50.0,100.20001,1121.06,1128.75,1119.46,1127.24,2254361111.0
2010-08-05,0.061,0.061,0.061,0.061,0.0,50.0,100.20001,1125.78,1126.56,1118.81,1125.81,2047533333.0
2010-08-06,0.0623,0.0623,0.0623,0.0623,0.0,50.0,100.20001,1122.07,1123.06,1107.17,1121.64,2143272222.0
