month,close_btc,high_btc,low_btc,volume_btc,marketcap_btc,close_sp500,high_sp500,low_sp500,volume_sp500,open_gold,high_gold,low_gold,close_gold,volume_gold,avg_cpi
2021-11-01,61318.957766606,66930.3872709899,43320.0229785376,1153077903531.53,1156485845063.1,434.4570617675781,442.53470656351124,434.20909645146236,148559600,1773.45,1774.53,1773.36,1774.43,195,118.50328
2021-12-01,57005.4254735998,68789.6259389221,53569.7639630968,1053270271384.16,1076689232562.09,454.5497131347656,456.3680593031638,454.2721962248872,65237400,1827.46,1828.04,1827.39,1827.95,158,119.34565
2022-01-01,46306.4461226996,59041.6852434855,42874.6168583905,957047184721.19,875939356678.79,430.57623291015625,430.9303284013812,420.9102496134448,152251400,1797.62,1797.67,1796.85,1796.88,218,120.08347
2022-02-01,38483.126309273,47881.4062331606,33184.0595656615,923979037677.66,729073641687.68,417.86688232421875,419.369422366041,412.19171679751787,145615000,1908.19,1908.46,1906.73,1908.26,229,120.92627
2022-03-01,43193.2340330233,45661.1731433747,34459.2177282867,671335993322.1,819414782676.49,433.5746765136719,440.40987596365085,433.1138656878591,121699900,1937.03,1937.68,1936.51,1936.88,216,122.17665
2022-04-01,45538.6769223388,48086.8367491568,37260.2017138385,830943838434.68,865202119215.74,395.52020263671875,408.8354047709913,394.7617940450386,145491100,1896.99,1897.68,1896.21,1896.42,226,122.65054
2022-05-01,37714.875545299,47313.4768544721,37697.9427790922,830115888651.02,717596901508.72,396.4130859375,399.8018872701157,393.629089739365,95937000,1837.78,1838.42,1837.65,1838.26,194,123.80529
2022-06-01,31792.3099432754,39902.9502136511,26350.4901742248,1089422059065.44,605797887876.49,363.7246398925781,367.0123863578746,359.2027858194282,112508300,1807.24,1807.33,1806.67,1807.16,214,125.40886
2022-07-01,19784.7264946249,31957.2843170438,17708.6237125896,923939211678.26,377526215552.49,397.2190856933594,398.22180724757027,392.1862349898111,87003700,1765.67,1766.22,1765.22,1766.02,230,125.35276
2022-08-01,23336.8956049843,24572.5794217469,18966.9506341661,927582363389.69,445941074223.04,381.0118103027344,386.85454192635757,380.87684494998143,76029700,1710.68,1710.79,1710.41,1710.53,349,125.44711
2022-09-01,20049.7631893726,25135.5903960686,19600.7850348256,894192654541.42,383710102294.98,345.788818359375,354.2404120799867,345.6532985984939,153711200,1662.05,1662.18,1660.62,1660.83,351,125.9822
2022-10-01,19431.7894465994,22673.8197662856,18290.315188225,1123272250383.71,372414733487.45,373.89300537109375,376.01316438485316,372.9733204411961,96631300,1633.29,1633.71,1633.07,1633.68,329,126.64437
2022-11-01,20495.7742320325,20988.3944704236,18319.8226296141,957903424925.88,393413045572.67,394.6783142089844,394.6783142089844,380.9311965292388,144566700,1768.33,1768.61,1767.71,1768.32,455,126.9542
2022-12-01,17168.5655484864,21446.8860966908,15599.0471753829,1224531549126.67,329997633644.39,371.9336853027344,372.0795624142601,368.04347070214413,84022200,1819.41,1819.57,1818.97,1819.48,354,126.9967
2023-01-01,16547.4953660162,18318.530584361,16398.1362516753,567256839394.97,318516317872.25,395.3235778808594,395.3721936863914,389.77027573807646,86811800,1928.24,1928.42,1927.7,1928.06,351,127.69712
2023-02-01,23139.2839099123,23919.8897614092,16521.233430529,690928920787.36,446082285297.19,385.3841247558594,388.3212261391017,385.2771284191281,96438600,1827.17,1827.35,1826.95,1827.11,276,128.13063
2023-03-01,23147.3533899085,25134.1173501961,21460.0885038644,723968574896.01,446846764116.35,399.67333984375,399.97597975960866,394.9481886943752,112062600,1969.35,1969.76,1968.46,1969.3,372,128.20161
2023-04-01,28478.4846056804,29159.9026178662,19628.2543094205,883299703607.68,550593053896.62,406.0580749511719,406.0678471393573,401.66488049667953,89335600,1989.55,1989.81,1988.97,1989.66,559,128.718
2023-05-01,29268.8070431626,31005.6080444729,27070.8494995525,531060399718.28,566661285145.37,407.9325256347656,409.2700045389137,406.3412081789081,110811800,1962.87,1963.27,1962.73,1963.04,230,128.91265
2023-06-01,27219.6586081109,29820.1266220765,25878.428829536,443473015482.63,527773175252.01,434.3664855957031,435.36596458062223,432.24010698873656,104921500,1918.68,1919.39,1918.51,1918.99,142,129.24544
2023-07-01,30477.2512822446,31389.5381281357,24797.1678486154,481734214225.81,591758288455.82,448.5846862792969,448.94724146938495,446.8796541716384,62040400,1965.08,1965.59,1965.01,1965.57,179,129.46474
2023-08-01,29230.110878649,31814.5148120678,28934.2941602457,382224489087.03,568365621732.67,441.2943115234375,443.72442423292205,441.10812967502676,66084600,1939.72,1939.89,1939.53,1939.87,210,130.11203
2023-09-01,25931.4728933574,30176.7962374838,25409.1116027686,437724169499.52,504957555550.64,420.3617248535156,424.6589519468337,418.81786088355244,115078500,1848.45,1849.25,1848.4,1848.99,221,130.63735
2023-10-01,26967.9163010637,27488.7638021952,24930.2974941684,337637313742.31,525885640459.76,411.23626708984375,411.5607588215683,407.31268700436084,79665200,1983.81,1984.21,1983.23,1983.79,423,130.75592
2023-11-01,34667.7793605467,35150.4334987547,26558.320783999,476425634860.31,677047621125.28,448.8001403808594,449.1541613597604,445.79109710253397,79752700,2035.96,2036.33,2035.79,2035.99,90,130.94038
2023-12-01,37712.7477716325,38415.3381982376,34133.4396153842,570863267378.05,737560917365.82,469.290283203125,470.98850092233886,467.30572984427226,122234100,2062.52,2063.35,2062.4,2062.74,584,131.21579
2024-01-01,42265.185654866,44705.5150094178,37629.3589120492,721704910476.24,827811209384.42,476.764404296875,482.88586417703925,476.74463830989237,126011100,2038.31,2038.9,2036.42,2038.75,1569,131.66587
2024-02-01,42582.6063895367,48969.3713995297,38521.8938882205,825918941348.23,835231465697.41,501.645263671875,503.28424374742,498.9498578140212,83924800,2043.06,2043.88,2042.96,2043.75,312,132.18779
2024-03-01,61198.382897303,63913.1318135774,41879.1899911815,830721862618.56,1202008882583.53,518.0499877929688,519.5751863076914,517.7627927494331,96294900,2223.32,2236.18,2223.19,2232.62,757,132.64892
2024-04-01,71333.6479258644,73750.07385038,59323.9089421326,1446417844950.47,1403108244335.61,497.1624450683594,504.6696855468165,497.1624450683594,77483600,2287.24,2287.24,2285.07,2285.57,311,133.03526
2024-05-01,60636.8567800147,72715.3596085505,59120.0680465683,1016068331704.26,1193544962108.24,522.3087158203125,522.4374730192826,513.3851769884031,90785800,2329.18,2330.27,2325.97,2326.44,294,133.08796
2024-06-01,67489.6117770498,71946.462688481,56555.2940546252,874291509756.41,1329961627933.33,540.73583984375,546.7571015570238,539.4740117027048,76144500,2325.4,2326.55,2325.19,2326.29,271,133.08414
2024-07-01,62678.292079457,71907.8489829092,58601.7000722967,751726832520.26,1235944779945.39,547.28369140625,549.9564723516758,544.0743893929554,65663400,2398.7,2398.7,2398.0,2398.2,68,133.26901
